car_id,name,price,litres_on_100km,seats,transmission,horsepower,fuel
1,Mercedes-Benz C-Class C 300 Sedan (2020),41400,10,5,shiftable automatic,255,petrol
2,Mercedes-Benz C-Class AMG C 43 Sedan (2020),55950,13,5,shiftable automatic,385,petrol
3,Mercedes-Benz C-Class C 300 Convertible (2019),51850,12,4,shiftable automatic,255,petrol
4,Mercedes-Benz C-Class AMG C 63 Sedan (2019),67000,14,5,shiftable automatic,469,petrol
5,Mercedes-Benz C-Class AMG C 63 S Coupe (2020),77500,14,4,shiftable automatic,503,petrol
6,BMW 3 Series 330i Sedan (2020),40750,9,5,shiftable automatic,255,petrol
7,BMW 3 Series M340i Sedan (2020),54000,11,5,shiftable automatic,382,petrol
8,BMW 3 Series 320i Sedan (2018),34900,10,5,shiftable automatic,180,petrol
9,BMW 3 Series Diesel 328d Wagon (2018),46150,8,5,shiftable automatic,180,diesel
10,BMW 3 Series Hybrid 330e Sedan (2017),44100,9,5,shiftable automatic,180,hybrid
11,Audi A4 Premium Plus 45 TFSI Sedan (2020),44000,11,5,shiftable automatic,248,petrol
12,Audi A4 2.0 TFSI Premium Plus Sedan (2019),42900,9,5,shiftable automatic,188,petrol
13,Audi A4 2.0 TFSI Titanium Sedan (2019),39200,9,5,shiftable automatic,188,petrol
14,Audi A4 2.0 TFSI ultra Premium Sedan (2017),34900,9,5,shiftable automatic,190,petrol
15,Volkswagen Passat Wolfsburg Edition Sedan (2019),25295,10,5,shiftable automatic,174,petrol
16,Volkswagen Passat SE R-Line Sedan (2019),29995,10,5,shiftable automatic,174,petrol
17,Volkswagen Passat R-Line Sedan (2018),24995,10,5,shiftable automatic,174,petrol
18,Volkswagen Passat SEL Premium Sedan (2018),31650,10,5,shiftable automatic,174,petrol
19,Volkswagen Passat S Sedan (2018),22995,10,5,shiftable automatic,174,petrol
20,Toyota Avalon Limited Sedan (2020),42175,11,5,shiftable automatic,301,petrol
21,Toyota Avalon XLE Sedan (2020),35875,11,5,shiftable automatic,301,petrol
22,Toyota Avalon XSE Sedan (2020),38375,11,5,shiftable automatic,301,petrol
23,Toyota Avalon XLE Sedan (2018),33500,12,5,shiftable automatic,268,petrol
24,Toyota Camry SE Sedan (2020),26170,9,5,shiftable automatic,203,petrol
25,Toyota Camry LE Sedan (2019),24600,9,5,shiftable automatic,203,petrol
26,Jaguar XE S Sedan (2020),39900,10,5,continuous automatic,247,petrol
27,Jaguar XE R-Dynamic S Sedan (2020),46295,11,5,shiftable automatic,296,petrol
28,Jaguar XE 30t R-Sport Sedan (2019),51635,11,5,shiftable automatic,296,petrol
29,Jaguar XE 20d Sedan (2019),38515,8,5,continuous automatic,180,diesel
30,Jaguar XE 25t Landmark Sedan (2019),48990,10,5,continuous automatic,247,petrol
31,Jaguar XE 20d Turbodiesel Sedan (2018),37225,8,5,continuous automatic,180,diesel
32,Alfa Romeo Giulia Ti Sedan (2020),41400,11,5,shiftable automatic,280,petrol
33,Alfa Romeo Giulia Sedan (2020),39400,11,5,shiftable automatic,280,petrol
34,Alfa Romeo Giulia Ti Sport Sedan (2020),46400,11,5,shiftable automatic,280,petrol
35,Alfa Romeo Giulia Quadrifoglio Sedan (2020),74500,14,5,shiftable automatic,505,petrol
36,Alfa Romeo Giulia Ti Lusso Sedan (2019),42995,11,5,shiftable automatic,280,petrol
37,Ford Fusion SE Sedan (2020),24500,11,5,continuous automatic,181,petrol
38,Ford Fusion SEL Sedan (2020),28690,11,5,continuous automatic,181,petrol
39,Ford Fusion Titanium Sedan (2020),34450,11,5,shiftable automatic,245,petrol
40,Ford Fusion Sport Sedan (2019),40015,14,5,shiftable automatic,325,petrol
41,Ford Fusion S Sedan (2019),22840,11,5,continuous automatic,173,petrol
42,Ford Fusion Sport w/EcoBoost Sedan (2018),33845,14,5,shiftable automatic,325,petrol
43,INFINITI Q50 3.0t LUXE Sedan (2020),38850,12,5,shiftable automatic,300,petrol
44,INFINITI Q50 3.0t SPORT Sedan (2020),48500,12,5,shiftable automatic,300,petrol
45,INFINITI Q50 RED SPORT 400 Sedan (2020),54250,13,5,shiftable automatic,400,petrol
46,INFINITI Q50 2.0t PURE Sedan (2019),35650,11,5,shiftable automatic,208,petrol
47,INFINITI Q50 3.0t Signature Edition Sedan (2019),41650,12,5,shiftable automatic,300,petrol
48,Mazda 6 Touring Sedan (2020),26700,10,5,shiftable automatic,187,petrol
49,Mazda 6 Signature Sedan (2020),35400,11,5,shiftable automatic,227,petrol
50,Mazda 6 Grand Touring Sedan (2020),29800,11,5,shiftable automatic,227,petrol
51,Mazda 6 Sport Sedan (2019),23800,10,5,shiftable automatic,187,petrol
52,Mazda 6 Grand Touring Reserve Sedan (2018),31700,11,5,shiftable automatic,227,petrol
53,Lexus IS 300 Sedan (2020),38560,12,5,shiftable automatic,241,petrol
54,Lexus IS 300 F SPORT Sedan (2020),41755,12,5,shiftable automatic,241,petrol
55,Lexus IS 350 Sedan (2020),42180,12,5,shiftable automatic,311,petrol
56,Lexus IS 350 F SPORT Sedan (2020),45375,12,5,shiftable automatic,311,petrol
57,Kia Optima LX Sedan (2020),23390,10,5,shiftable automatic,185,petrol
58,Kia Optima SX Sedan (2020),32190,12,5,shiftable automatic,245,petrol
59,Kia Optima S Sedan (2019),24990,11,5,shiftable automatic,185,petrol
60,Kia Optima SX Turbo Sedan (2018),30600,11,5,shiftable automatic,245,petrol
61,Kia Optima LX Sedan (2017),22200,10,5,shiftable automatic,185,petrol
62,Nissan Altima 2.5 SR Sedan (2020),25700,9,5,continuous automatic,188,petrol
63,Nissan Altima 2.5 SL Sedan (2020),30240,9,5,continuous automatic,188,petrol
64,Nissan Altima VC-T Platinum Sedan (2020),35180,10,5,continuous automatic,248,petrol
65,Nissan Maxima 3.5 S Sedan (2020),34250,12,5,continuous automatic,300,petrol
66,Nissan Maxima 3.5 SL Sedan (2020),38640,12,5,continuous automatic,300,petrol
67,Nissan Maxima Platinum Sedan (2020),41640,12,5,continuous automatic,300,petrol
68,Volvo S60 T6 Momentum Sedan (2020),40550,11,5,shiftable automatic,316,petrol
69,Volvo S60 T5 Momentum Sedan (2020),36050,10,5,shiftable automatic,250,petrol
70,Volvo S60 T6 Insciption Sedan (2020),47400,11,5,shiftable automatic,316,petrol
71,Volvo S60 T8 R-Design Twin Engine Hybrid Sedan (2020),55400,9,5,shiftable automatic,400,hybrid
72,Volvo S60 T5 R-Design Sedan (2019),41900,10,5,shiftable automatic,250,petrol
73,Hyundai Sonata SE Sedan (2020),23600,9,5,shiftable automatic,191,petrol
74,Hyundai Sonata Limited Sedan (2020),33500,9,5,shiftable automatic,180,petrol
75,Hyundai Sonata Sport Sedan (2019),25000,10,5,shiftable automatic,185,petrol
76,Hyundai Sonata Eco Sedan (2019),22850,9,5,automated manual,178,hybrid
77,Hyundai Sonata Limited 2.0T Sedan (2018),31900,11,5,shiftable automatic,245,petrol
78,Honda Accord Touring Sedan (2020),36100,11,5,shiftable automatic,252,petrol
79,Honda Accord LX Sedan (2020),23870,9,5,continuous automatic,192,petrol
80,Honda Accord EX Sedan (2020),27770,9,5,continuous automatic,192,petrol
81,Honda Accord Sport Sedan (2019),26180,9,5,continuous automatic,192,petrol
82,Honda Accord EX-L Sedan (2018),29970,9,5,continuous automatic,192,petrol
83,Chevrolet Malibu L Sedan (2020),22095,9,5,continuous automatic,160,petrol
84,Chevrolet Malibu RS Sedan (2020),24220,9,5,continuous automatic,160,petrol
85,Chevrolet Malibu Premier Sedan (2020),33320,11,5,shiftable automatic,250,petrol
86,Chevrolet Malibu Hybrid Sedan (2019),28220,6,5,1-speed direct drive,122,hybrid
87,Ford Taurus SE Sedan (2019),27800,14,5,shiftable automatic,288,biofuels
88,Ford Taurus SHO Sedan (2019),42975,15,5,shiftable automatic,365,petrol
89,Ford Taurus Limited Sedan (2019),37310,14,5,shiftable automatic,288,biofuels
90,Volkswagen Arteon SE Hatchback (2020),35995,11,5,shiftable automatic,268,petrol
91,Volkswagen Arteon SEL Premium R-Line Hatchback (2020),47695,12,5,shiftable automatic,268,petrol
92,Volkswagen Arteon SE Hatchback (2019),35845,11,5,shiftable automatic,268,petrol
93,Volkswagen Arteon SEL Premium Hatchback (2019),44945,12,5,shiftable automatic,268,petrol
94,Subaru Legacy Sedan (2020),22745,9,5,continuous automatic,182,petrol
95,Subaru Legacy Touring XT Sedan (2020),35895,11,5,continuous automatic,260,petrol
96,Subaru Legacy 2.5i Sedan (2019),22545,10,5,continuous automatic,175,petrol
97,Subaru Legacy 3.6R Limited Sedan (2019),31545,12,5,continuous automatic,256,petrol